Year,State,Yes,No,Category,Condition,Location 1
2004,Wyoming,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
2004,Colorado,82.10%,17.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Colorado
(38.843840757000464, -106.13361092099967)"
2004,North Carolina,78.20%,21.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
1997,Alabama,82.70%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alabama
(32.84057112200048, -86.63186076199969)"
2000,Colorado,86.50%,13.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
1999,Delaware,90.40%,9.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
2006,Massachusetts,91.50%,8.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
1998,California,78.80%,21.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"California
(37.63864012300047, -120.99999953799971)"
2009,New Mexico,77%,23%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
1995,North Dakota,89.40%,10.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2000,New Hampshire,91%,9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2003,Arkansas,80.80%,19.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
1999,Oregon,84.60%,15.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oregon
(44.56744942400047, -120.15503132599969)"
2002,Georgia,84.30%,15.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
2003,Florida,76.50%,23.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
1996,Kansas,89.90%,10.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
2004,Florida,80.40%,19.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
1999,Vermont,87.20%,12.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2004,Ohio,84.60%,15.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Ohio
(40.06021014100048, -82.40426005599966)"
2000,North Dakota,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
1998,Indiana,86.70%,13.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2000,Nevada,84%,16%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
1998,Colorado,82.70%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Colorado
(38.843840757000464, -106.13361092099967)"
2009,Washington,85.60%,14.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
1996,Mississippi,85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2002,New York,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New York
(42.82700103200045, -75.54397042699964)"
1995,Rhode Island,89.30%,10.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2010,Iowa,87.40%,12.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Iowa
(42.46940091300047, -93.81649055599968)"
2001,New Jersey,88.70%,11.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
1995,Maine,80.40%,19.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
2003,New Hampshire,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2005,Michigan,85.30%,14.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1999,Missouri,89.10%,10.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2000,North Carolina,87.30%,12.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
1998,New Jersey,88.20%,11.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Jersey
(40.13057004800049, -74.27369128799967)"
2010,North Dakota,86.70%,13.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1998,Alaska,79.20%,20.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2010,Georgia,83.70%,16.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
2003,Montana,77%,23%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
2005,Kentucky,79.50%,20.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
2005,Kansas,84.40%,15.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
2010,Pennsylvania,86.20%,13.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2002,Massachusetts,90.80%,9.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
1997,South Dakota,86.80%,13.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2005,Missouri,87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2008,Washington,84.50%,15.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Washington
(47.52227862900048, -120.47001078999972)"
2006,Arkansas,74.90%,25.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
1997,Louisiana,75.60%,24.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
2010,Nebraska,83.50%,16.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2004,Connecticut,90.50%,9.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
1999,Illinois,86.40%,13.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Illinois
(40.48501028300046, -88.99771017799969)"
1995,Delaware,88.70%,11.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
2008,Oregon,81%,19%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
2007,Pennsylvania,89.20%,10.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2010,North Carolina,77.30%,22.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
1997,Arkansas,82.70%,17.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
2000,California,81.60%,18.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
2006,Oregon,80.50%,19.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
2006,Tennessee,84.50%,15.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
2002,Michigan,88%,12%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
1997,Alaska,78.70%,21.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2000,Nebraska,88.90%,11.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2008,California,79.80%,20.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"California
(37.63864012300047, -120.99999953799971)"
1997,Mississippi,84.80%,15.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2002,South Dakota,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2009,Idaho,81.30%,18.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
2003,Vermont,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2005,Texas,71.50%,28.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
2000,Wisconsin,91.10%,8.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
2008,Rhode Island,89.20%,10.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2010,Maine,85.50%,14.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
2010,Massachusetts,95%,5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Massachusetts
(42.27687047000046, -72.08269067499964)"
2006,Rhode Island,86.60%,13.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2005,Delaware,90.80%,9.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Delaware
(39.008830667000495, -75.57774116799965)"
1997,Hawaii,92.60%,7.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Hawaii
(21.304850435000446, -157.85774940299973)"
2001,North Carolina,85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
1997,Colorado,86%,14%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Colorado
(38.843840757000464, -106.13361092099967)"
2005,Indiana,81.80%,18.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Indiana
(39.766910452000445, -86.14996019399968)"
2000,Pennsylvania,91%,9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2001,Vermont,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
1997,Rhode Island,89.30%,10.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2006,New Mexico,78.30%,21.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
2008,Washington,86.70%,13.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
2005,Arkansas,80.80%,19.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
1996,Nevada,80.80%,19.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
2000,Virginia,87.10%,12.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virginia
(37.54268067400045, -78.45789046299967)"
1996,Alaska,78.20%,21.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1999,South Carolina,81.80%,18.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Carolina
(33.998821303000454, -81.04537120699968)"
1999,Connecticut,89.90%,10.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Connecticut
(41.56266102000046, -72.64984095199964)"
2003,Alaska,80.80%,19.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1996,New Mexico,75.40%,24.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
1999,Hawaii,90.90%,9.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
2007,Nebraska,87.90%,12.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nebraska
(41.6410409880005, -99.36572062299967)"
2010,California,82.20%,17.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
2010,Arkansas,73.80%,26.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
2007,Montana,79.60%,20.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
2004,Arkansas,81.40%,18.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
2006,Georgia,82.10%,17.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Georgia
(32.83968109300048, -83.62758034599966)"
2004,Minnesota,92.10%,7.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
2005,Alabama,83.10%,16.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
2005,Hawaii,92.20%,7.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
1999,Wisconsin,87.90%,12.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
2005,New Hampshire,87.60%,12.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1998,Maine,84.30%,15.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
2003,Michigan,89%,11%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
2004,Alabama,80.30%,19.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alabama
(32.84057112200048, -86.63186076199969)"
1998,Kansas,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
2006,Indiana,84.40%,15.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2010,Maryland,87.10%,12.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
2007,Alaska,84.80%,15.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2000,Maine,83.70%,16.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
1995,Florida,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
2003,Oklahoma,80.30%,19.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1997,Minnesota,90.40%,9.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
1999,North Dakota,86.20%,13.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1996,Pennsylvania,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
1999,Wisconsin,89.80%,10.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1996,Virginia,83.50%,16.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virginia
(37.54268067400045, -78.45789046299967)"
1999,New Hampshire,86.80%,13.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1998,Kentucky,82.70%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
1996,North Carolina,87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Carolina
(35.466220975000454, -79.15925046299964)"
1996,Michigan,88.90%,11.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
2000,Illinois,89.10%,10.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
1999,California,77.80%,22.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"California
(37.63864012300047, -120.99999953799971)"
2006,Ohio,85.40%,14.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Ohio
(40.06021014100048, -82.40426005599966)"
2010,Washington,84.90%,15.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
1996,North Dakota,85.60%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1998,New Hampshire,86.30%,13.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2004,Arkansas,77.60%,22.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
2006,Mississippi,79.10%,20.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2009,Wisconsin,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1996,Florida,77.10%,22.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
2006,Illinois,82.40%,17.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Illinois
(40.48501028300046, -88.99771017799969)"
2003,Maryland,88%,12%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maryland
(39.29058096400047, -76.60926011099963)"
1997,Utah,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Utah
(39.360700171000474, -111.58713063499971)"
1998,Tennessee,85.20%,14.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
2007,Washington,86%,14%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
1998,Ohio,91.30%,8.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
1995,Missouri,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2009,Kansas,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
2003,Oregon,81%,19%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oregon
(44.56744942400047, -120.15503132599969)"
1998,Arizona,86.80%,13.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
1999,South Dakota,89.60%,10.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2000,Ohio,89.80%,10.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
1999,Tennessee,85.80%,14.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
2000,Virginia,88.60%,11.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
2009,Pennsylvania,86.50%,13.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
1998,Nebraska,90.20%,9.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2007,Maine,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2005,Nebraska,86.20%,13.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nebraska
(41.6410409880005, -99.36572062299967)"
2007,North Dakota,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2002,New Hampshire,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2000,Oklahoma,83.10%,16.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1998,Indiana,84.10%,15.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Indiana
(39.766910452000445, -86.14996019399968)"
2008,Texas,70.40%,29.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
2005,Wisconsin,87.80%,12.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
2006,Michigan,87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
2004,Oregon,79%,21%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
2000,West Virginia,76.50%,23.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"West Virginia
(38.66551020200046, -80.71264013499967)"
1997,Kentucky,86.20%,13.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
2009,Hawaii,92.70%,7.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
2002,Colorado,83.40%,16.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
2002,District of Columbia,89.30%,10.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
2003,New York,81.60%,18.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New York
(42.82700103200045, -75.54397042699964)"
2000,Kentucky,83.40%,16.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
1999,Tennessee,87.70%,12.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Tennessee
(35.68094058000048, -85.77449091399967)"
1999,South Dakota,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Dakota
(44.353130053000484, -100.3735306369997)"
1995,Tennessee,86.80%,13.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
2007,Colorado,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
1996,Arizona,83%,17%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
1996,Washington,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
2004,Vermont,87.60%,12.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2008,West Virginia,83.80%,16.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"West Virginia
(38.66551020200046, -80.71264013499967)"
1995,Alaska,84.70%,15.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
1995,Mississippi,83.30%,16.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
2008,Maryland,85.90%,14.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
1997,Hawaii,93.60%,6.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
2002,Wisconsin,88.70%,11.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
2005,Minnesota,93%,7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
2005,Alaska,82.90%,17.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2002,Washington,87.90%,12.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
2003,Georgia,83.50%,16.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
1999,Mississippi,79.70%,20.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
2009,Pennsylvania,89%,11%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2006,Connecticut,87.90%,12.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2000,Rhode Island,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2010,Arizona,83.80%,16.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arizona
(34.865970280000454, -111.76381127699972)"
